Hash,Merge timestamp,Has conflict?,Chunks,TODO,FIXME,HACK,XXX,DONE,UNDONE,ASAP,REMOVE,NOTE,BUG,ISSUE,ERROR,BRKEN,GLITCH,REVIEW,WTF,FUTURE
5d6333aa8f7ee59cada32f3647635bf7cdf2bed1,2019-03-17 18:42:03 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9508b0d3dd806e36ea7e50662f615975802da6a3,2019-03-09 21:41:31 -0500,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528527aaeac037ad952a832ae1d45237e3b8c34b,2019-01-13 14:20:35 -0500,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179d083a8a41b7dd6b77985a5c9f603e1e55b215,2019-01-01 16:57:25 -0500,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20e5fe9da77691de761563a5a251e9fabce80a8f,2018-12-23 19:35:25 -0500,YES,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
769e03296f4bb076d5f04e88fa6119a34927b0f1,2018-10-28 11:29:08 -0400,YES,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
681de7d22021e41f218c876cda12799494b1cf87,2018-10-28 09:39:02 -0400,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7b2a87823a88d5a9abc4691ae1252e22f434b8b3,2018-10-28 08:45:01 -0400,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86fd8f3e16b95cd901926fc374820f36d81c2486,2018-10-27 22:28:43 -0400,YES,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8642ef17a407c5723f88fe6d0b722ffe6724b3f2,2018-10-27 17:40:16 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bda2310bcff08a654184215364d60a29fc536838,2018-10-27 16:42:02 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
